,MAE,RMSE,R2,MAPE,model
Random Forest,73747.41657197983,101621.9112039419,0.858217214527292,14.388533273373746,"RandomForestRegressor(n_jobs=-1, random_state=42)"
Gradient Boosting,74356.09872690825,99573.94101070902,0.8638742830870502,14.650765311278224,GradientBoostingRegressor(random_state=42)
Linear Regression,108027.1990290051,143846.52540791492,0.7159154995089849,23.752647346923162,LinearRegression()
Ridge (L2),108027.2668060347,143848.78383829928,0.7159065790279047,23.751733780904797,Ridge()
Lasso (L1),108027.19905413156,143846.5251517437,0.7159155005208169,23.752647290994684,Lasso(alpha=0.001)
